case,ky,gamma_reference,gamma_gkx,gamma_relative_difference,omega_reference,omega_gkx,omega_relative_difference,gamma_half_time_shift,omega_half_time_shift,converged
cyclone_miller_itg,0.30000001192092896,0.1258519041596107,0.12585537736869276,2.7597588651945917e-05,0.2154679835855382,0.21547626057960723,3.841403224408595e-05,0.00011419768156994117,-2.166899051637955e-05,True
cyclone_miller_itg,0.3499999940395355,0.13766115665146447,0.1376446022737715,-0.00012025453000424202,0.2610161939581621,0.26101378783425316,-9.21829359497397e-06,3.456391612978819e-05,-7.337463691795766e-06,True
cyclone_miller_itg,0.4000000059604645,0.1431214747932351,0.14311339812529916,-5.64322576160758e-05,0.30669503405834864,0.3066901437583165,-1.594515557501669e-05,9.980636860217697e-06,2.025946768150717e-07,True
cyclone_miller_itg,0.45000001788139343,0.14253195910488517,0.14250840525132866,-0.00016525313834478438,0.3513879598055071,0.3513925808817477,1.3150923677536165e-05,4.14093691413424e-06,4.929543720546307e-06,True
cyclone_miller_itg,0.5,0.136411916790078,0.13642742164611313,0.00011366203481321466,0.39398809240281,0.3939954487994755,1.867162182650696e-05,9.565527662063244e-06,-2.8191300387471844e-06,True
cyclone_miller_itg,0.550000011920929,0.12591721580445187,0.1259248994620082,6.1021501366865644e-05,0.4336411209361067,0.43362887313326015,-2.8244099222169644e-05,7.63051996012593e-06,-1.2773339542026746e-05,True
cyclone_miller_itg,0.6000000238418579,0.11267800466383546,0.11266294415035255,-0.000133659745997792,0.4697972501365884,0.4697828168546348,-3.072236363540053e-05,-5.992329579524849e-06,-2.841602140333987e-05,True
cyclone_miller_itg,0.6500000357627869,0.09850990877134129,0.09846931548332766,-0.0004120731459396271,0.5029714269545472,0.5029852334271827,2.744981503042531e-05,9.492435461460014e-05,-1.0426308187030181e-05,True
cyclone_miller_itg,0.699999988079071,0.08448605890412933,0.08450378233049106,0.0002097793007701606,0.5343565787505178,0.534381566715019,4.676271518853975e-05,-5.4982840214511854e-05,-3.2206230645113414e-06,True
cyclone_miller_itg,0.75,0.07069670170256236,0.06999548557449094,-0.009918654069911213,0.5653976864606431,0.5653928917771173,-8.480196577901899e-06,0.010959784006627967,-7.467126439620261e-05,True
cyclone_miller_kinetic_electrons,0.10000000149011612,0.03397262840613474,1.8723390986352568,54.11316570068955,0.08296168262069548,13.390986766149833,160.41170650279628,-0.1010421312964332,-0.236860637531272,False
